date_id,full_date,year,month,quarter,day_of_week,is_weekend,is_month_end,week_number
20230329,3/29/2023,2023,March,Q1,Wednesday,FALSE,FALSE,
20230330,3/30/2023,2023,March,Q1,Thursday,FALSE,FALSE,
20230331,3/31/2023,2023,March,Q1,Friday,FALSE,TRUE,
20230401,04/01/2023,2023,April,Q2,Saturday,TRUE,FALSE,
20230402,04/02/2023,2023,April,Q2,Sunday,TRUE,FALSE,
20230403,04/03/2023,2023,April,Q2,Monday,FALSE,FALSE,
20230404,04/04/2023,2023,April,Q2,Tuesday,FALSE,FALSE,
20230405,04/05/2023,2023,April,Q2,Wednesday,FALSE,FALSE,
20230406,04/06/2023,2023,April,Q2,Thursday,FALSE,FALSE,
20230407,04/07/2023,2023,April,Q2,Friday,FALSE,FALSE,
20230408,04/08/2023,2023,April,Q2,Saturday,TRUE,FALSE,
20230409,04/09/2023,2023,April,Q2,Sunday,TRUE,FALSE,
20230410,04/10/2023,2023,April,Q2,Monday,FALSE,FALSE,
20230411,04/11/2023,2023,April,Q2,Tuesday,FALSE,FALSE,
20230412,04/12/2023,2023,April,Q2,Wednesday,FALSE,FALSE,
20230413,4/13/2023,2023,April,Q2,Thursday,FALSE,FALSE,
20230414,4/14/2023,2023,April,Q2,Friday,FALSE,FALSE,
20230415,4/15/2023,2023,April,Q2,Saturday,TRUE,FALSE,
20230416,4/16/2023,2023,April,Q2,Sunday,TRUE,FALSE,
20230417,4/17/2023,2023,April,Q2,Monday,FALSE,FALSE,
20230418,4/18/2023,2023,April,Q2,Tuesday,FALSE,FALSE,
20230419,4/19/2023,2023,April,Q2,Wednesday,FALSE,FALSE,
20230420,4/20/2023,2023,April,Q2,Thursday,FALSE,FALSE,
20230421,4/21/2023,2023,April,Q2,Friday,FALSE,FALSE,
20230422,4/22/2023,2023,April,Q2,Saturday,TRUE,FALSE,
20230423,4/23/2023,2023,April,Q2,Sunday,TRUE,FALSE,
20230424,4/24/2023,2023,April,Q2,Monday,FALSE,FALSE,
20230425,4/25/2023,2023,April,Q2,Tuesday,FALSE,FALSE,
20230426,4/26/2023,2023,April,Q2,Wednesday,FALSE,FALSE,
20230427,4/27/2023,2023,April,Q2,Thursday,FALSE,FALSE,
20230428,4/28/2023,2023,April,Q2,Friday,FALSE,FALSE,
20230429,4/29/2023,2023,April,Q2,Saturday,TRUE,FALSE,
20230430,4/30/2023,2023,April,Q2,Sunday,TRUE,TRUE,
20230501,05/01/2023,2023,May,Q2,Monday,FALSE,FALSE,
20230502,05/02/2023,2023,May,Q2,Tuesday,FALSE,FALSE,
20230503,05/03/2023,2023,May,Q2,Wednesday,FALSE,FALSE,
20230504,05/04/2023,2023,May,Q2,Thursday,FALSE,FALSE,
20230505,05/05/2023,2023,May,Q2,Friday,FALSE,FALSE,
20230506,05/06/2023,2023,May,Q2,Saturday,TRUE,FALSE,
20230507,05/07/2023,2023,May,Q2,Sunday,TRUE,FALSE,
20230508,05/08/2023,2023,May,Q2,Monday,FALSE,FALSE,
20230509,05/09/2023,2023,May,Q2,Tuesday,FALSE,FALSE,
20230510,05/10/2023,2023,May,Q2,Wednesday,FALSE,FALSE,
20230511,05/11/2023,2023,May,Q2,Thursday,FALSE,FALSE,
20230512,05/12/2023,2023,May,Q2,Friday,FALSE,FALSE,
20230513,5/13/2023,2023,May,Q2,Saturday,TRUE,FALSE,
20230514,5/14/2023,2023,May,Q2,Sunday,TRUE,FALSE,
20230515,5/15/2023,2023,May,Q2,Monday,FALSE,FALSE,
20230516,5/16/2023,2023,May,Q2,Tuesday,FALSE,FALSE,
20230517,5/17/2023,2023,May,Q2,Wednesday,FALSE,FALSE,
20230518,5/18/2023,2023,May,Q2,Thursday,FALSE,FALSE,
20230519,5/19/2023,2023,May,Q2,Friday,FALSE,FALSE,
20230520,5/20/2023,2023,May,Q2,Saturday,TRUE,FALSE,
20230521,5/21/2023,2023,May,Q2,Sunday,TRUE,FALSE,
20230522,5/22/2023,2023,May,Q2,Monday,FALSE,FALSE,
20230523,5/23/2023,2023,May,Q2,Tuesday,FALSE,FALSE,
20230524,5/24/2023,2023,May,Q2,Wednesday,FALSE,FALSE,
20230525,5/25/2023,2023,May,Q2,Thursday,FALSE,FALSE,
20230526,5/26/2023,2023,May,Q2,Friday,FALSE,FALSE,
20230527,5/27/2023,2023,May,Q2,Saturday,TRUE,FALSE,
20230528,5/28/2023,2023,May,Q2,Sunday,TRUE,FALSE,
20230529,5/29/2023,2023,May,Q2,Monday,FALSE,FALSE,
20230530,5/30/2023,2023,May,Q2,Tuesday,FALSE,FALSE,
20230531,5/31/2023,2023,May,Q2,Wednesday,FALSE,TRUE,
